feature_name,feature_group,f_score,p_value,adhd_mean,control_mean,mean_difference,abs_mean_difference
parietal_hjorth_mobility_mean,region,23.334343763804082,4.095589074219105e-06,0.4369680700728211,0.3753003640177585,0.06166770605506261,0.06166770605506261
Pz_hjorth_mobility_mean,hjorth,21.74663049023566,8.202254049400136e-06,0.39391576977647036,0.33326330252580594,0.06065246725066442,0.06065246725066442
O1_theta_alpha_ratio_mean,band_ratio,19.520381313367995,2.208402511428015e-05,1.8639826343127988,2.597373215310582,-0.7333905809977832,0.7333905809977832
O1_O2_alpha_rel_mean_diff,asymmetry,18.743094674777748,3.135822262356104e-05,0.017532556057253186,-0.005203094050608664,0.02273565010786185,0.02273565010786185
O1_alpha_rel_mean,frequency_band,18.73761805966994,3.1436074064684705e-05,0.12798500462860568,0.08959328143947189,0.038391723189133795,0.038391723189133795
C3_hjorth_mobility_mean,hjorth,17.978865969642282,4.4378216663958755e-05,0.3712095251988932,0.3226119856675191,0.048597539531374134,0.048597539531374134
parietal_hjorth_complexity_mean,region,17.97273372168246,4.450251359827423e-05,2.4679868921332266,2.844242630684452,-0.3762557385512255,0.3762557385512255
P3_hjorth_mobility_mean,hjorth,17.964714000168588,4.466560525257729e-05,0.40762002460968705,0.3515301453754986,0.056089879234188456,0.056089879234188456
P7_theta_alpha_ratio_mean,band_ratio,17.67212451022223,5.105279814477388e-05,2.0043083025662223,2.8500935458140426,-0.8457852432478203,0.8457852432478203
P7_hjorth_mobility_mean,hjorth,17.41866775210266,5.7337346540222364e-05,0.5006954627527141,0.4092032097441702,0.09149225300854397,0.09149225300854397
P3_delta_rel_mean,frequency_band,17.246938779072636,6.20397796131093e-05,0.4695231593310422,0.5622342194433485,-0.09271106011230629,0.09271106011230629
central_hjorth_mobility_mean,region,16.967716085253798,7.05433887312001e-05,0.37588066349287286,0.3353139152922221,0.04056674820065076,0.04056674820065076
temporal_hjorth_mobility_mean,region,16.89743081944177,7.286573041213491e-05,0.4186195533018489,0.3491976432386096,0.06942191006323933,0.06942191006323933
O1_delta_rel_mean,frequency_band,16.737111111105452,7.845983103164878e-05,0.44318369387902284,0.5368852981198723,-0.09370160424084945,0.09370160424084945
Pz_zero_crossing_rate_mean,time_domain,16.63502277867517,8.224898499985832e-05,0.1276051904145321,0.1101650637871281,0.017440126627404004,0.017440126627404004
P7_zero_crossing_rate_mean,time_domain,16.323065943505526,9.502865615989503e-05,0.1660503248084744,0.13738004833732556,0.028670276471148837,0.028670276471148837
P3_hjorth_complexity_mean,hjorth,16.16174892761988,0.00010241628729674154,2.495722437510787,2.9451247721029707,-0.4494023345921838,0.4494023345921838
P7_delta_rel_mean,frequency_band,15.987127845979849,0.00011107755471316426,0.4620793827206059,0.558459864246677,-0.09638048152607115,0.09638048152607115
P7_hjorth_complexity_mean,hjorth,15.892801006794794,0.0001160642040959947,2.3564863110160856,2.8322545385116755,-0.4757682274955899,0.4757682274955899
temporal_theta_beta_ratio_mean,region,15.674129048833578,0.00012852401903268095,2.1806548319293686,3.204717826533754,-1.0240629946043853,1.0240629946043853
temporal_hjorth_complexity_mean,region,15.56289433764656,0.00013537891854595375,2.718354246108269,3.142091205426922,-0.42373695931865285,0.42373695931865285
Pz_delta_rel_mean,frequency_band,15.519320178972285,0.00013816511409868828,0.4684761894351418,0.5526034274932566,-0.08412723805811484,0.08412723805811484
T7_delta_rel_mean,frequency_band,15.459488054616644,0.0001420867155928294,0.5305601918841215,0.623431398402289,-0.09287120651816749,0.09287120651816749
C3_zero_crossing_rate_mean,time_domain,14.720663006073508,0.00020104531571994168,0.12130505762228233,0.10762279315062752,0.013682264471654812,0.013682264471654812
P3_zero_crossing_rate_mean,time_domain,14.677690047826614,0.00020516295369451117,0.132766142171593,0.11709288010835199,0.015673262063241003,0.015673262063241003
T7_theta_beta_ratio_mean,band_ratio,14.472709493002867,0.00022602480807065937,2.4423912953448155,3.8799325945485044,-1.437541299203689,1.437541299203689
Pz_theta_beta_ratio_mean,band_ratio,14.34008767591998,0.00024066779125036643,2.7765522120856225,4.277045137499251,-1.5004929254136288,1.5004929254136288
P7_std_mean,time_domain,14.283599415709743,0.00024719632494108693,113.53827783422068,164.27052458022985,-50.73224674600917,50.73224674600917
P7_rms_mean,time_domain,14.283599415709743,0.00024719632494108693,113.53827783422068,164.27052458022985,-50.73224674600917,50.73224674600917
C3_delta_rel_mean,frequency_band,14.156894565121396,0.0002625075931610739,0.47547521768695267,0.5598260155754695,-0.08435079788851685,0.08435079788851685
T7_hjorth_mobility_mean,hjorth,14.104212538075634,0.00026915643741874196,0.4007434852666164,0.3258752749653697,0.07486821030124668,0.07486821030124668
parietal_beta_rel_mean,region,14.004096217954407,0.0002822710525685483,0.12178988152135681,0.09413545254677033,0.027654428974586476,0.027654428974586476
O1_alpha_rel_std,frequency_band,13.780885301269032,0.00031391815123283485,0.0484029261677494,0.03898092504603004,0.009422001121719356,0.009422001121719356
Fz_hjorth_mobility_mean,hjorth,13.627914260273148,0.0003376854009075102,0.36428701607136305,0.3243334522262983,0.039953563845064766,0.039953563845064766
Pz_hjorth_complexity_mean,hjorth,13.606028999157429,0.00034123339254369257,2.468822516784678,2.872963221453913,-0.4041407046692349,0.4041407046692349
P7_ptp_mean,time_domain,13.573148978606056,0.0003466357540052039,740.6933692457962,1082.3820007528514,-341.6886315070551,341.6886315070551
O1_hjorth_complexity_mean,hjorth,13.567468734071625,0.00034757788567225863,2.342537199170148,2.7264587953898767,-0.38392159621972866,0.38392159621972866
Pz_beta_rel_mean,frequency_band,13.564048771955154,0.00034814638894079827,0.09149919586844756,0.06833433621005609,0.023164859658391462,0.023164859658391462
P3_kurtosis_mean,time_domain,13.359664135732507,0.00038391047480449287,0.6396712127338857,1.2149896252679295,-0.5753184125340438,0.5753184125340438
occipital_hjorth_complexity_mean,region,13.340711080203675,0.000387412174176692,2.3477578250196514,2.6664694623785814,-0.31871163735893004,0.31871163735893004
T7_zero_crossing_rate_mean,time_domain,12.834608203425606,0.0004940819654747344,0.13447213931335059,0.11136509606395287,0.02310704324939772,0.02310704324939772
T7_hjorth_complexity_mean,hjorth,12.578853240808993,0.0005590114556974293,2.732529858010437,3.203176299468414,-0.4706464414579772,0.4706464414579772
P7_beta_rel_mean,frequency_band,12.39937908051787,0.000609746794565845,0.16426989636598058,0.11747194774876986,0.04679794861721072,0.04679794861721072
P7_alpha_rel_mean,frequency_band,12.351753759723293,0.0006239866335438903,0.10871722073058433,0.08131609392855955,0.027401126802024778,0.027401126802024778
T7_theta_beta_ratio_std,band_ratio,12.201660439808613,0.0006711363518316968,1.5005147761143336,2.551032605578692,-1.0505178294643582,1.0505178294643582
P3_theta_beta_ratio_std,band_ratio,12.135981619554753,0.0006929033980939833,1.1926842271706042,2.0926476632397617,-0.8999634360691575,0.8999634360691575
C3_gamma_rel_mean,frequency_band,12.08265777288339,0.0007111077953166013,0.00927087156676596,0.006808279404972867,0.0024625921617930932,0.0024625921617930932
Fz_delta_rel_mean,frequency_band,11.852844409758072,0.0007953573606806406,0.4917632288584951,0.5601332445555836,-0.06837001569708845,0.06837001569708845
P7_gamma_rel_mean,frequency_band,11.7310381355975,0.0008440992732419654,0.03311157130683606,0.021947248005015116,0.011164323301820947,0.011164323301820947
P3_theta_alpha_ratio_std,band_ratio,11.70581578318643,0.0008545696065451543,1.071250003353245,1.5399670728134218,-0.46871706946017677,0.46871706946017677
Cz_hjorth_mobility_mean,hjorth,11.603002675559829,0.0008986478319187704,0.38064585188236133,0.34379307918917373,0.036852772693187597,0.036852772693187597
parietal_theta_beta_ratio_mean,region,11.590151515046507,0.0009043191751446271,2.2455901876795603,3.125945571191744,-0.8803553835121836,0.8803553835121836
